#,Company,Symbol,Weight,Price,Chg,% Chg
187,Fair Isaac Corporation,FICO,0.10%,"1,900.82",1.04,(0.05%)
188,Fastenal Co,FAST,0.10%,80.79,0.33,(0.42%)
189,Paccar Inc,PCAR,0.10%,87.81,1.00,(1.15%)
190,Ross Stores Inc,ROST,0.10%,139.58,0.90,(0.65%)
191,"Digital Realty Trust, Inc.",DLR,0.10%,149.78,1.60,(1.08%)
192,Fedex Corporation,FDX,0.10%,205.99,2.43,(1.19%)
193,"Ameriprise Financial, Inc.",AMP,0.10%,463.10,-0.13,(-0.03%)
194,"Simon Property Group, Inc.",SPG,0.10%,147.11,-0.95,(-0.64%)
195,Public Storage,PSA,0.10%,289.02,-0.01,(-0.01%)
196,The Kroger Co.,KR,0.10%,69.14,0.13,(0.18%)
197,"Dominion Energy, Inc",D,0.10%,52.69,-0.37,(-0.70%)
198,Sempra,SRE,0.10%,68.46,-1.93,(-2.74%)
199,"W.W. Grainger, Inc.",GWW,0.10%,986.45,1.12,(0.11%)
200,General Motors Company,GM,0.10%,44.27,0.05,(0.11%)
201,Kenvue Inc.,KVUE,0.10%,23.17,0.44,(1.94%)
202,Crown Castle Inc.,CCI,0.10%,101.25,0.00,0.00%
203,Nxp Semiconductors N.v.,NXPI,0.10%,169.82,1.22,(0.73%)
204,"Msci, Inc.",MSCI,0.09%,537.76,-4.80,(-0.88%)
205,Keurig Dr Pepper Inc.,KDP,0.09%,   NaN,0.00,(NaN%)
206,Target Corporation,TGT,0.09%,91.04,0.58,(0.64%)
207,"Metlife, Inc.",MET,0.09%,73.98,2.28,(3.18%)
208,"Axon Enterprise, Inc.",AXON,0.09%,571.50,-0.35,(-0.06%)
209,Edwards Lifesciences Corp,EW,0.09%,70.70,-0.51,(-0.71%)
210,"Verisk Analytics, Inc.",VRSK,0.09%,292.25,0.02,(0.01%)
211,Public Service Enterprise Group Incorporated,PEG,0.09%,83.03,0.00,(-0.01%)
212,"L3harris Technologies, Inc.",LHX,0.09%,218.20,-0.68,(-0.31%)
213,Monster Beverage Corporation,MNST,0.09%,58.10,0.14,(0.25%)
214,"Corteva, Inc.",CTVA,0.09%,   NaN,0.00,(NaN%)
215,"Yum! Brands, Inc.",YUM,0.09%,142.23,-0.34,(-0.24%)
216,"Xcel Energy, Inc.",XEL,0.09%,70.25,1.15,(1.66%)
217,"Quanta Services, Inc.",PWR,0.09%,279.44,9.99,(3.71%)
218,Discover Financial Services,DFS,0.09%,157.84,1.53,(0.98%)
219,Phillips 66,PSX,0.09%,97.76,1.19,(1.23%)
220,Cummins Inc.,CMI,0.09%,280.76,0.19,(0.07%)
221,Vistra Corp.,VST,0.09%,118.84,2.96,(2.56%)
222,Otis Worldwide Corporation,OTIS,0.09%,96.78,0.00,(-0.01%)
223,"United Rentals, Inc.",URI,0.09%,573.91,-11.32,(-1.93%)
224,"Consolidated Edison, Inc.",ED,0.08%,112.12,0.68,(0.61%)
225,Te Connectivity Plc,TEL,0.08%,126.90,0.00,0.00%
226,Marathon Petroleum Corporation,MPC,0.08%,124.74,0.67,(0.54%)
227,Baker Hughes Company,BKR,0.08%,38.39,0.26,(0.67%)
228,Pg&e Corporation,PCG,0.08%,   NaN,0.00,(NaN%)
229,"Fidelity National Information Services, Inc.",FIS,0.08%,69.64,1.00,(1.46%)
230,"Ametek, Inc.",AME,0.08%,161.83,3.31,(2.09%)
231,Ford Motor Company,F,0.08%,9.47,0.06,(0.69%)
232,Targa Resources Corp.,TRGP,0.08%,171.47,-1.21,(-0.70%)
233,Entergy Corporation,ETR,0.08%,82.72,0.48,(0.58%)
234,"Prudential Financial, Inc.",PRU,0.08%,99.15,0.53,(0.54%)
235,Cognizant Technology Solutions,CTSH,0.08%,69.94,-0.08,(-0.11%)
236,Hess Corporation,HES,0.08%,128.29,0.34,(0.27%)
237,Take-Two Interactive Software Inc,TTWO,0.08%,213.10,1.70,(0.80%)
238,"Cbre Group, Inc.",CBRE,0.08%,116.35,-0.86,(-0.73%)
239,Sysco Corporation,SYY,0.08%,71.34,0.65,(0.92%)
240,Arch Capital Group Ltd,ACGL,0.08%,91.68,-0.70,(-0.76%)
241,Humana Inc.,HUM,0.08%,285.61,0.00,0.00%
242,Electronic Arts Inc,EA,0.08%,144.44,1.47,(1.03%)
243,"Wec Energy Group, Inc.",WEC,0.07%,107.00,-0.36,(-0.34%)
244,Valero Energy Corporation,VLO,0.07%,107.24,0.11,(0.10%)
245,D.R. Horton Inc.,DHI,0.07%,117.36,-0.19,(-0.16%)
246,Costar Group Inc,CSGP,0.07%,80.76,1.74,(2.20%)
247,Vici Properties Inc.,VICI,0.07%,31.87,-0.18,(-0.55%)
248,"The Hartford Financial Services Group, Inc.",HIG,0.07%,118.50,1.35,(1.15%)
249,Charter Comm Inc Del Cl a,CHTR,0.07%,332.61,0.11,(0.03%)
250,Idexx Laboratories Inc,IDXX,0.07%,402.53,0.15,(0.04%)
251,Willis Towers Watson Public Limited Companys,WTW,0.07%,325.57,0.84,(0.26%)
252,"Cardinal Health, Inc.",CAH,0.07%,133.71,-0.65,(-0.48%)
253,Vulcan Materials Company,VMC,0.07%,243.26,2.70,(1.12%)
254,Corning Incorporated,GLW,0.07%,41.85,0.57,(1.38%)
255,"General Mills, Inc.",GIS,0.07%,56.93,0.45,(0.81%)
256,Resmed Inc.,RMD,0.07%,211.80,0.31,(0.15%)
257,Ebay Inc,EBAY,0.07%,   NaN,0.00,(NaN%)
258,"Gartner, Inc.",IT,0.07%,402.63,0.33,(0.08%)
259,Centene Corporation,CNC,0.07%,61.49,-0.49,(-0.79%)
260,Martin Marietta Materials,MLM,0.07%,491.13,0.06,(0.01%)
261,"Nasdaq, Inc.",NDAQ,0.07%,72.63,0.94,(1.31%)
262,Eqt Corp,EQT,0.07%,51.00,0.15,(0.29%)
263,"Ventas, Inc.",VTR,0.06%,   NaN,0.00,(NaN%)
264,Garmin Ltd,GRMN,0.06%,188.31,-0.66,(-0.35%)
265,Wabtec Inc.,WAB,0.06%,165.40,-4.31,(-2.54%)
266,Agilent Technologies Inc.,A,0.06%,102.71,0.01,(0.01%)
267,Ingersoll Rand Inc.,IR,0.06%,71.50,0.14,(0.20%)
268,"Extra Space Storage, Inc.",EXR,0.06%,138.19,-0.03,(-0.03%)
269,Ge Healthcare Technologies Inc.,GEHC,0.06%,61.82,0.34,(0.55%)
270,Old Dominion Freight Line,ODFL,0.06%,148.75,0.90,(0.61%)
271,"American Water Works Company, Inc",AWK,0.06%,146.02,-0.38,(-0.26%)
272,Lululemon Athletica Inc.,LULU,0.06%,249.48,0.10,(0.04%)
273,"Constellation Brands, Inc.",STZ,0.06%,183.88,0.85,(0.46%)
274,"Avalonbay Communities, Inc.",AVB,0.06%,200.07,0.01,0.00%
275,"Brown & Brown, Inc.",BRO,0.06%,119.47,0.67,(0.56%)
276,"Equifax, Incorporated",EFX,0.06%,220.80,1.51,(0.69%)
277,Broadridge Financial Solutions Inc,BR,0.06%,235.41,0.12,(0.05%)
278,Dte Energy Company,DTE,0.06%,132.03,0.01,(0.01%)
279,Tractor Supply Co,TSCO,0.06%,50.17,0.81,(1.64%)
280,"Dexcom, Inc.",DXCM,0.06%,68.66,-0.07,(-0.10%)
281,Ameren Corporation,AEE,0.06%,97.01,-0.99,(-1.01%)
282,Dell Technologies Inc.,DELL,0.06%,84.67,1.31,(1.57%)
283,Ansys Inc,ANSS,0.06%,302.28,0.69,(0.23%)
284,Xylem Inc,XYL,0.06%,112.47,3.28,(3.00%)
285,M&t Bank Corp.,MTB,0.06%,156.47,-2.43,(-1.53%)
286,"Rockwell Automation, Inc.",ROK,0.06%,228.31,0.20,(0.09%)
287,"Delta Air Lines, Inc.",DAL,0.06%,41.05,0.46,(1.13%)
288,Ppl Corporation,PPL,0.06%,35.23,-0.05,(-0.16%)
289,"Monolithic Power Systems, Inc.",MPWR,0.06%,541.99,17.13,(3.26%)
290,Nucor Corporation,NUE,0.06%,109.99,1.04,(0.95%)
291,"Church & Dwight Co., Inc.",CHD,0.06%,102.00,-0.96,(-0.93%)
292,The Kraft Heinz Company,KHC,0.06%,28.99,0.18,(0.62%)
293,Occidental Petroleum Corporation,OXY,0.06%,39.00,0.55,(1.43%)
294,"Dupont De Nemours, Inc.",DD,0.06%,60.01,0.76,(1.27%)
295,Iqvia Holdings Inc.,IQV,0.05%,148.35,-0.09,(-0.06%)
296,"Raymond James Financial, Inc.",RJF,0.05%,132.18,0.00,(-0.00%)
297,The Hershey Company,HSY,0.05%,164.65,0.42,(0.26%)
298,Atmos Energy Corporation,ATO,0.05%,156.30,-0.01,(-0.01%)
299,"Tyler Technologies, Inc.",TYL,0.05%,569.55,0.26,(0.05%)
300,International Paper Co.,IP,0.05%,46.62,0.32,(0.69%)
301,Godaddy Inc,GDDY,0.05%,172.30,0.10,(0.06%)
302,Lennar Corporation Class A,LEN,0.05%,104.03,1.27,(1.23%)
303,Iron Mountain Inc.,IRM,0.05%,82.25,-0.38,(-0.46%)
304,"Centerpoint Energy, Inc.",CNP,0.05%,36.92,0.14,(0.38%)
305,Sba Communications Corp,SBAC,0.05%,226.01,0.34,(0.15%)
306,Texas Pacific Land Corporation,TPL,0.05%,"1,277.35",-0.23,(-0.02%)
307,"Diamondback Energy, Inc.",FANG,0.05%,131.60,1.38,(1.06%)
308,"Keysight Technologies, Inc.",KEYS,0.05%,125.73,-9.06,(-6.72%)
309,Fifth Third Bancorp,FITB,0.05%,   NaN,0.00,(NaN%)
310,State Street Corporation,STT,0.05%,80.56,0.93,(1.17%)
311,"Darden Restaurants, Inc.",DRI,0.05%,200.12,2.25,(1.14%)
312,"Ppg Industries, Inc.",PPG,0.05%,99.98,1.55,(1.58%)
313,Equity Residential,EQR,0.05%,68.00,0.95,(1.42%)
314,"Cboe Global Markets, Inc.",CBOE,0.05%,221.71,3.74,(1.72%)
315,Fortive Corporation,FTV,0.05%,64.76,-0.24,(-0.37%)
316,Dover Corporation,DOV,0.05%,157.65,-4.31,(-2.66%)
317,Veralto Corporation,VLTO,0.05%,90.67,1.34,(1.50%)
318,Hp Inc.,HPQ,0.05%,23.61,0.14,(0.59%)
319,Kellanova,K,0.05%,82.26,-0.03,(-0.04%)
320,"United Airlines Holdings, Inc.",UAL,0.05%,67.32,0.33,(0.49%)
321,Archer Daniels Midland Company,ADM,0.05%,46.57,0.44,(0.96%)
322,Edison International,EIX,0.05%,56.31,-0.02,(-0.04%)
323,Expand Energy Corporation,EXE,0.05%,106.59,1.83,(1.75%)
324,Mettler-Toledo International,MTD,0.05%,"1,017.19",0.53,(0.05%)
325,Teledyne Technologies Incorporated,TDY,0.05%,461.08,0.19,(0.04%)
326,"Corpay, Inc.",CPAY,0.05%,307.53,0.76,(0.25%)
327,Cms Energy Corporation,CMS,0.05%,72.14,-0.03,(-0.04%)
328,Steris Plc,STE,0.05%,220.13,0.11,(0.05%)
329,"Nvr, Inc.",NVR,0.05%,   NaN,0.00,(NaN%)
330,Eversource Energy,ES,0.05%,56.35,-1.71,(-2.95%)
331,"Global Payments, Inc.",GPN,0.05%,84.31,0.19,(0.22%)
332,Firstenergy Corp.,FE,0.05%,40.79,-0.01,(-0.02%)
333,Microchip Technology Inc,MCHP,0.05%,   NaN,0.00,(NaN%)
334,Cincinnati Financial Corp,CINF,0.05%,132.11,0.00,0.00%
335,W.R. Berkley Corporation,WRB,0.05%,70.95,2.49,(3.64%)
336,Verisign Inc,VRSN,0.04%,250.20,4.27,(1.74%)
337,Smurfit Westrock Plc,SW,0.04%,40.97,0.20,(0.49%)
338,Live Nation Entertainment Inc.,LYV,0.04%,126.28,0.82,(0.65%)
339,Cdw Corporation,CDW,0.04%,149.26,0.48,(0.33%)
340,Hewlett Packard Enterprise Company,HPE,0.04%,15.17,0.28,(1.92%)
341,"Nrg Energy, Inc.",NRG,0.04%,99.29,1.20,(1.22%)
342,Huntington Bancshares Inc,HBAN,0.04%,13.50,0.23,(1.73%)
343,T Rowe Price Group Inc,TROW,0.04%,86.15,0.78,(0.91%)
344,Dow Inc.,DOW,0.04%,27.94,0.47,(1.73%)
345,Dollar General Corp.,DG,0.04%,89.56,0.20,(0.22%)
346,"Zimmer Biomet Holdings, Inc.",ZBH,0.04%,98.12,1.17,(1.21%)
347,Waters Corp,WAT,0.04%,321.02,-0.08,(-0.02%)
348,"Pultegroup, Inc.",PHM,0.04%,92.59,-0.27,(-0.30%)
349,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,73.96,0.42,(0.57%)
350,Labcorp Holdings Inc.,LH,0.04%,220.61,0.03,(0.02%)
351,Invitation Homes Inc.,INVH,0.04%,38.03,4.99,(15.10%)
352,Weyerhaeuser Company,WY,0.04%,   NaN,0.00,(NaN%)
353,Devon Energy Corporation,DVN,0.04%,   NaN,0.00,(NaN%)
354,Carnival Corporation,CCL,0.04%,18.11,0.24,(1.34%)
355,Coterra Energy Inc.,CTRA,0.04%,25.35,-0.29,(-1.11%)
356,"Expedia Group, Inc.",EXPE,0.04%,150.80,-1.77,(-1.16%)
357,"Molina Healthcare, Inc.",MOH,0.04%,333.91,1.53,(0.46%)
358,Hubbell Incorporated,HUBB,0.04%,338.69,-0.09,(-0.03%)
359,Quest Diagnostics Inc.,DGX,0.04%,168.74,4.27,(2.60%)
360,"Leidos Holdings, Inc.",LDOS,0.04%,142.38,2.48,(1.78%)
361,International Flavors & Fragrances Inc.,IFF,0.04%,70.72,-0.34,(-0.49%)
362,Synchrony Financial,SYF,0.04%,46.62,-0.14,(-0.31%)
363,Halliburton Company,HAL,0.04%,21.53,0.10,(0.47%)
